Glottocode_spec	Glottocode	Smallest_Island_group	Smallest_Island_group_main	Marck_group	Medium_only_merged_for_shared_language	COUNTRY NAME	SBZR_group	glottocodes	lg_count_medium	lg_count_Marck	lg_count_SBZR	lg_count_COUNTRY	lg_count_smallest	sum_area	sum_shoreline	mean_lat	mean_long	max_long	min_long	max_lat	min_lat	smallest_island_color	Marck_group_color	medium_group_color	SBZR_group_color
arho1237	arho1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
asum1237	asum1237	Utupua	Utupua	Vanuatu + Temotu	Utupua	SOLOMON ISLANDS	Vanuatu + Temotu	tani1255,asum1237,amba1266	3	128	130	16	3	72.980265536	91.2470660072	-11.2485177338	166.4549908235	166.491921081	166.418060566	-11.2361906064	-11.2608448612	#47F3F4	#A3A4EE	#EDF37E	#E65F6B
aulu1238	aulu1238	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
avok1244	avok1244	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
axam1237	axam1237	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
ayiw1239	ayiw1239	Lomlom	Lomlom	Vanuatu + Temotu	Duff + Reef Islands	SOLOMON ISLANDS	Vanuatu + Temotu	ayiw1239	2	128	130	16	1	0.7347220869000001	5.121697563	-10.31128772135	166.2577080875	166.286766358	166.228649817	-10.3038712658	-10.3187041769	#6FDAA7	#A3A4EE	#F0B6B4	#E65F6B
baet1237	baet1237	Maewo	Maewo	Vanuatu + Temotu	Maewo	VANUATU	Vanuatu + Temotu	baet1237,cent2058,mari1426	3	128	130	117	3	305.7678029506	138.131526619	-15.126309147557143	168.17571982485714	168.211080993	168.141814629	-14.9284166799	-15.3937668212	#57D583	#A3A4EE	#CE36BE	#E65F6B
baki1244	baki1244	Epi	Epi	Vanuatu + Temotu	Epi	VANUATU	Vanuatu + Temotu	bier1246,lewo1242,maii1238,baki1244,bier1244,lame1260	6	128	130	117	6	457.3889548838	151.2804295602	-16.714900371833334	168.23502994733335	168.344612546	168.118499633	-16.5846629494	-16.833475625	#56A8B9	#A3A4EE	#BD9A5B	#E65F6B
bala1316	bala1316	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
bier1244	bier1244	Epi	Epi	Vanuatu + Temotu	Epi	VANUATU	Vanuatu + Temotu	bier1246,lewo1242,maii1238,baki1244,bier1244,lame1260	6	128	130	117	6	457.3889548838	151.2804295602	-16.714900371833334	168.23502994733335	168.344612546	168.118499633	-16.5846629494	-16.833475625	#56A8B9	#A3A4EE	#BD9A5B	#E65F6B
bier1246	bier1246	Epi	Epi	Vanuatu + Temotu	Epi	VANUATU	Vanuatu + Temotu	bier1246,lewo1242,maii1238,baki1244,bier1244,lame1260	6	128	130	117	6	457.3889548838	151.2804295602	-16.714900371833334	168.23502994733335	168.344612546	168.118499633	-16.5846629494	-16.833475625	#56A8B9	#A3A4EE	#BD9A5B	#E65F6B
bign1238	bign1238	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
burm1263	burm1263	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
butm1237	butm1237	Santo	Santo	Vanuatu + Temotu	Santo	VANUATU	Vanuatu + Temotu	akei1237,wail1242,tang1347,nara1263,ambl1237,tamb1253,polo1242,fort1240,rori1237,moro1286,butm1237,lore1244,navu1237,mere1242,wusi1237,shar1244,tial1239,tolo1255,tasm1246,saka1289,piam1242,noku1237,vuna1239,valp1237	24	128	130	117	24	4080.802436609	562.5763095061001	-15.23689885905926	166.95815050533332	167.243032996	166.523623182	-14.6940929114	-15.6472812869	#8A8D89	#A3A4EE	#6E65E0	#E65F6B
bwat1240	bwat1240	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
bwen1239	bwen1239	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
caac1237	caac1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
caro1242	caro1242	Northern Marianas	Saipan, Northern Marianas	Laguas yan gåni (Guam + Northern Marianas)	Laguas yan gåni (Guam + Northern Marianas)	Northern Mariana Islands (US)	Laguas yan gåni (Guam + Northern Marianas)	caro1242	3	3	3	3	1	173.72458256550001	179.3153064902	17.97807753180714	145.5826962025	146.075842768	144.898718705	20.5377402114	15.2409084722	#8EA33A	#A724ED	#E8DFAD	#F050B1
caro1242	caro1242	Saipan	Saipan, Northern Marianas	Laguas yan gåni (Guam + Northern Marianas)	Laguas yan gåni (Guam + Northern Marianas)	Northern Mariana Islands (US)	Laguas yan gåni (Guam + Northern Marianas)	tana1281, cham1312, caro1242	3	3	3	3	3	123.3426695	77.1417230906	15.1886171895	145.753092527	145.753092527	145.753092527	15.1886171895	15.1886171895	#C2E0F2	#A724ED	#E8DFAD	#F050B1
cemu1238	cemu1238	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
cent2058	cent2058	Maewo	Maewo	Vanuatu + Temotu	Maewo	VANUATU	Vanuatu + Temotu	baet1237,cent2058,mari1426	3	128	130	117	3	305.7678029506	138.131526619	-15.126309147557143	168.17571982485714	168.211080993	168.141814629	-14.9284166799	-15.3937668212	#57D583	#A3A4EE	#CE36BE	#E65F6B
cham1312	cham1312	Saipan	Guam, Tinian	Laguas yan gåni (Guam + Northern Marianas)	Laguas yan gåni (Guam + Northern Marianas)	Northern Mariana Islands (US)	Laguas yan gåni (Guam + Northern Marianas)	tana1281, cham1312, caro1242	3	3	3	3	3	123.3426695	77.1417230906	15.1886171895	145.753092527	145.753092527	145.753092527	15.1886171895	15.1886171895	#C2E0F2	#A724ED	#E8DFAD	#F050B1
cham1312	cham1312	Tinian	Guam, Tinian	Laguas yan gåni (Guam + Northern Marianas)	Laguas yan gåni (Guam + Northern Marianas)	Northern Mariana Islands (US)	Laguas yan gåni (Guam + Northern Marianas)	cham1312	3	3	3	3	1	112.7235984662	67.2956854472	14.9006844601	145.57421914633332	145.631903592	145.532469973	15.0139080536	14.834985371	#B79CC5	#A724ED	#E8DFAD	#F050B1
cham1312	cham1312	Guam	Guam, Tinian	Laguas yan gåni (Guam + Northern Marianas)	Laguas yan gåni (Guam + Northern Marianas)	Northern Mariana Islands (US)	Laguas yan gåni (Guam + Northern Marianas)	cham1312	3	3	3	3	1	646.2695124495	249.0797994193	13.370865030085	144.7245943432	145.21887612	144.632904053	14.1558346032	13.2366214352	#EB85D5	#A724ED	#E8DFAD	#F050B1
cham1312	cham1312	Guam	Guam, Tinian	Laguas yan gåni (Guam + Northern Marianas)	Laguas yan gåni (Guam + Northern Marianas)	Guam (US)	Laguas yan gåni (Guam + Northern Marianas)	cham1312	3	3	3	1	1	646.2695124495	249.0797994193	13.370865030085	144.7245943432	145.21887612	144.632904053	14.1558346032	13.2366214352	#EB85D5	#A724ED	#E8DFAD	#F050B1
chuu1238	chuu1238	Chuuk	Chuuk	Chuuk	Chuuk	FEDERATED STATES OF MICRONESIA	Chuuk	chuu1238	1	6	6	17	1	101.0245707043	262.0543132952	7.358816469590698	151.81976548001163	152.014673656	151.436242633	7.6769753149	6.9844296985	#99DFB1	#68EFC0	#EEC57C	#ECD57B
daka1243	daka1243	Ambrym	Ambrym	Vanuatu + Temotu	Ambrym	VANUATU	Vanuatu + Temotu	port1286,sout2859,daka1243,orko1234,lonw1238,nort2839	6	128	130	117	6	689.763983674	140.374687845	-16.2526197768	168.115843193	168.115843193	168.115843193	-16.2526197768	-16.2526197768	#B8F188	#A3A4EE	#F0F5D6	#E65F6B
dehu1237	dehu1237	Lifou	Lifou	Kanaky (main island + Loyalties)	Lifou	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	dehu1237	1	34	34	34	1	1152.7771768813	235.5448531111	-20.7970835283	167.12490240900001	167.2359628	167.013842018	-20.6538553383	-20.9403117183	#6B9D95	#73A69F	#BBA5C1	#DB3D7D
dixo1238	dixo1238	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
dumb1241	dumb1241	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
east2443	east2443	Ambae	Ambae	Vanuatu + Temotu	Ambae	VANUATU	Vanuatu + Temotu	west2513,east2443	2	128	130	117	2	425.274846173	105.556816403	-15.3955646085	167.848248315	167.848248315	167.848248315	-15.3955646085	-15.3955646085	#E76C31	#A3A4EE	#C2C164	#E65F6B
east2447	east2447	East Futuna	East Futuna	East Futuna	East Futuna	Wallis and Futuna (FRANCE)	East Futuna	east2447	1	1	1	2	1	95.0280466038	74.1764901729	-14.29562847575	-178.1099469575	-178.026705238	-178.194539474	-14.2451866475	-14.3538421292	#B22BF0	#BC9A5D	#BC9893	#7A3D38
emae1237	emae1237	Emae	Emae	Vanuatu + Temotu	Emae	VANUATU	Vanuatu + Temotu	emae1237	1	128	130	117	1	37.1343813803	35.2089936437	-17.1054055229	168.40209462299998	168.431247818	168.372941428	-17.0698752094	-17.1409358364	#A1F89F	#A3A4EE	#BFC1EE	#E65F6B
eton1255	eton1255	Efate	Efate	Vanuatu + Temotu	Efate	VANUATU	Vanuatu + Temotu	mele1250,eton1255,sout2856,lele1267,nort2836	5	128	130	117	5	979.0453609369	298.6526903011	-17.626902701408333	168.32011900724999	168.481375049	168.146226845	-17.4569966865	-17.8041978847	#5FF1C0	#A3A4EE	#3FC0CB	#E65F6B
fort1240	fort1240	Santo	Santo	Vanuatu + Temotu	Santo	VANUATU	Vanuatu + Temotu	akei1237,wail1242,tang1347,nara1263,ambl1237,tamb1253,polo1242,fort1240,rori1237,moro1286,butm1237,lore1244,navu1237,mere1242,wusi1237,shar1244,tial1239,tolo1255,tasm1246,saka1289,piam1242,noku1237,vuna1239,valp1237	24	128	130	117	24	4080.802436609	562.5763095061001	-15.23689885905926	166.95815050533332	167.243032996	166.523623182	-14.6940929114	-15.6472812869	#8A8D89	#A3A4EE	#6E65E0	#E65F6B
futu1245	futu1245	Futuna + Aniwa	Futuna and Aniwa	Vanuatu + Temotu	Futuna + Aniwa	VANUATU	Vanuatu + Temotu	futu1245	1	128	130	117	1	29.1939744487	38.1795804503	-19.40348231685	169.88214060500002	170.193259283	169.571021927	-19.2787239653	-19.5282406684	#92CCE9	#A3A4EE	#90329E	#E65F6B
fwai1237	fwai1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
gilb1244	gilb1244	Niu	Tungaru	Tuvalu	Tungaru + Tuvalu	TUVALU	Niu + Tuvalu	gilb1244	2	2	2	2	1	2.367378553	13.649932094399999	-7.273516890385714	177.16860541614287	177.171244724	177.162886374	-7.2546270143	-7.2934088078	#E1D1C1	#D2EBE4	#58DCF2	#DAF175
gilb1244	gilb1244	Tungaru	Tungaru	Tungaru	Tungaru + Tuvalu	KIRIBATI	Tungaru	gilb1244	2	1	1	1	1	345.6401079079	1164.2517004031	0.8285585378219178	173.67738877419177	176.820943045	172.695760292	3.338556416	-2.6382382188	#E3A9BF	#5E6BCC	#58DCF2	#D6AB68
gilb1244	gilb1244	Banaba	Tungaru	Banaba	Tungaru + Tuvalu	KIRIBATI	Banaba	gilb1244	2	1	1	1	1	8.0134944728	11.5011286444	-0.8866763086	169.539648867	169.539648867	169.539648867	-0.8866763086	-0.8866763086	#4E57B9	#E742E0	#58DCF2	#6DF232
gone1237	gone1237	Vanua Levu	Vanua Levu, Taveuni	Fiji	Vanua Levu	FIJI	Fiji	gone1237	1	8	8	9	1	6319.2094157721995	1506.3754310566	-16.543035417256384	167.82183690245745	179.991146641	-179.966523578	-16.1525600778	-17.11119902	#B3E8F2	#ECADEC	#B15EEB	#AFDFE6
gone1237	gone1237	Taveuni	Vanua Levu, Taveuni	Fiji	Vanua Levu	FIJI	Fiji	gone1237	1	8	8	9	1	134.301595897	59.2173128597	-16.930720447	179.958958409	179.958958409	179.958958409	-16.930720447	-16.930720447	#DBE856	#ECADEC	#B15EEB	#AFDFE6
haek1239	haek1239	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
hano1246	hano1246	Pentecost	Pentecost	Vanuatu + Temotu	Pentecost	VANUATU	Vanuatu + Temotu	saaa1241,seke1241,apma1240,sowa1244,hano1246	5	128	130	117	5	513.617211892	146.78757084400002	-15.673364099925	168.19439396800001	168.196807467	168.192505008	-15.4637747138	-16.0015764943	#BD9790	#A3A4EE	#B9C9C8	#E65F6B
have1241	have1241	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
hawa1245	hawa1245	Hawaii	Hawaii	Hawai'i	Hawaii	UNITED STATES	Hawaii	hawa1245	1	1	1	1	1	16841.5309005401	1736.5254741291	21.154258249202897	-157.33585988869567	-154.977709151	-160.542096137	22.059824634800002	19.2681519832	#BCB9F3	#E285D7	#C96F51	#B4C67E
hiww1237	hiww1237	Hiu	Hiu	Vanuatu + Temotu	Hiu	VANUATU	Vanuatu + Temotu	hiww1237	1	128	130	117	1	49.7265853194	39.7589879036	-13.1353197877	166.555650089	166.555650089	166.555650089	-13.1353197877	-13.1353197877	#8BA3E5	#A3A4EE	#5EEFD7	#E65F6B
