term	variable	value
Intercept	mean	0.14055358979792
environ_PC1	mean	0.189908409173533
Shoreline	mean	1.11768375120145
environ_PC2	mean	-0.219740647652348
environ_PC1:Shoreline	mean	-0.123421589821644
Shoreline:environ_PC2	mean	-0.0167809016808981
moEA033	mean	-0.148021919534081
moSettlement_date_grouping_finer	mean	-0.0157885840393991
moEA033:Shoreline	mean	-0.913220161655172
moSettlement_date_grouping_finer:Shoreline	mean	0.291631731674138
simo_moEA0331[1]	mean	0.319484639570452
simo_moEA0331[2]	mean	0.292688086400167
simo_moEA0331[3]	mean	0.387827274025962
simo_moSettlement_date_grouping_finer1[1]	mean	0.101502137389357
simo_moSettlement_date_grouping_finer1[2]	mean	0.098778120900286
simo_moSettlement_date_grouping_finer1[3]	mean	0.091321427851951
simo_moSettlement_date_grouping_finer1[4]	mean	0.0912729950762883
simo_moSettlement_date_grouping_finer1[5]	mean	0.0907465473043017
simo_moSettlement_date_grouping_finer1[6]	mean	0.0906579175078064
simo_moSettlement_date_grouping_finer1[7]	mean	0.0942375128979705
simo_moSettlement_date_grouping_finer1[8]	mean	0.114971439235288
simo_moSettlement_date_grouping_finer1[9]	mean	0.104317874457415
simo_moSettlement_date_grouping_finer1[10]	mean	0.122194027957556
simo_moEA033:Shoreline1[1]	mean	0.603552382576552
simo_moEA033:Shoreline1[2]	mean	0.197081685196062
simo_moEA033:Shoreline1[3]	mean	0.19936593267091
simo_moSettlement_date_grouping_finer:Shoreline1[1]	mean	0.0712297883155825
simo_moSettlement_date_grouping_finer:Shoreline1[2]	mean	0.094562350447759
simo_moSettlement_date_grouping_finer:Shoreline1[3]	mean	0.0794543584235203
simo_moSettlement_date_grouping_finer:Shoreline1[4]	mean	0.0753134811797781
simo_moSettlement_date_grouping_finer:Shoreline1[5]	mean	0.0752242859161983
simo_moSettlement_date_grouping_finer:Shoreline1[6]	mean	0.0629814669787964
simo_moSettlement_date_grouping_finer:Shoreline1[7]	mean	0.152019281408927
simo_moSettlement_date_grouping_finer:Shoreline1[8]	mean	0.0814294698201166
simo_moSettlement_date_grouping_finer:Shoreline1[9]	mean	0.259684450172793
simo_moSettlement_date_grouping_finer:Shoreline1[10]	mean	0.0481010645731948
lprior	mean	25.0528391948276
lp__	mean	-128.869034241379
Intercept	sd	0.415878939330998
environ_PC1	sd	0.157766998734782
Shoreline	sd	0.456928117045168
environ_PC2	sd	0.186346929852349
environ_PC1:Shoreline	sd	0.134913797579171
Shoreline:environ_PC2	sd	0.145836789285823
moEA033	sd	0.383024234060531
moSettlement_date_grouping_finer	sd	0.0817906028955762
moEA033:Shoreline	sd	0.285313056044039
moSettlement_date_grouping_finer:Shoreline	sd	0.0564576223844553
simo_moEA0331[1]	sd	0.224940066535274
simo_moEA0331[2]	sd	0.218965872850927
simo_moEA0331[3]	sd	0.255407678298917
simo_moSettlement_date_grouping_finer1[1]	sd	0.0914396908493972
simo_moSettlement_date_grouping_finer1[2]	sd	0.0916831835723137
simo_moSettlement_date_grouping_finer1[3]	sd	0.0863430341612152
simo_moSettlement_date_grouping_finer1[4]	sd	0.0865261049335948
simo_moSettlement_date_grouping_finer1[5]	sd	0.0858553546388467
simo_moSettlement_date_grouping_finer1[6]	sd	0.0841865341592929
simo_moSettlement_date_grouping_finer1[7]	sd	0.0864741462502616
simo_moSettlement_date_grouping_finer1[8]	sd	0.109581127762824
simo_moSettlement_date_grouping_finer1[9]	sd	0.0941940427082437
simo_moSettlement_date_grouping_finer1[10]	sd	0.117813189699949
simo_moEA033:Shoreline1[1]	sd	0.160323028005077
simo_moEA033:Shoreline1[2]	sd	0.125094528498975
simo_moEA033:Shoreline1[3]	sd	0.147246605155844
simo_moSettlement_date_grouping_finer:Shoreline1[1]	sd	0.0630929473624583
simo_moSettlement_date_grouping_finer:Shoreline1[2]	sd	0.0792350279483689
simo_moSettlement_date_grouping_finer:Shoreline1[3]	sd	0.0697045184038128
simo_moSettlement_date_grouping_finer:Shoreline1[4]	sd	0.0670407567432495
simo_moSettlement_date_grouping_finer:Shoreline1[5]	sd	0.0669077462749323
simo_moSettlement_date_grouping_finer:Shoreline1[6]	sd	0.0574485238480468
simo_moSettlement_date_grouping_finer:Shoreline1[7]	sd	0.111427722982735
simo_moSettlement_date_grouping_finer:Shoreline1[8]	sd	0.0734560007186072
simo_moSettlement_date_grouping_finer:Shoreline1[9]	sd	0.113368118631304
simo_moSettlement_date_grouping_finer:Shoreline1[10]	sd	0.0441941918372326
lprior	sd	0.0285123174715306
lp__	sd	4.44066033415232
Intercept	min	-1.6776
environ_PC1	min	-0.587264
Shoreline	min	-1.13546
environ_PC2	min	-1.03153
environ_PC1:Shoreline	min	-0.749675
Shoreline:environ_PC2	min	-0.71201
moEA033	min	-2.26058
moSettlement_date_grouping_finer	min	-0.432739
moEA033:Shoreline	min	-7.25029
moSettlement_date_grouping_finer:Shoreline	min	0.0933131
simo_moEA0331[1]	min	2.15821e-07
simo_moEA0331[2]	min	1.00819e-05
simo_moEA0331[3]	min	2.56199e-05
simo_moSettlement_date_grouping_finer1[1]	min	2.44822e-06
simo_moSettlement_date_grouping_finer1[2]	min	1.03366e-06
simo_moSettlement_date_grouping_finer1[3]	min	1.50763e-06
simo_moSettlement_date_grouping_finer1[4]	min	1.66726e-06
simo_moSettlement_date_grouping_finer1[5]	min	1.77821e-06
simo_moSettlement_date_grouping_finer1[6]	min	1.42509e-06
simo_moSettlement_date_grouping_finer1[7]	min	5.41705e-07
simo_moSettlement_date_grouping_finer1[8]	min	6.00998e-06
simo_moSettlement_date_grouping_finer1[9]	min	2.35433e-06
