term	variable	value
Intercept	mean	0.255224355049833
environ_PC1	mean	-0.211714681716548
Shoreline	mean	0.2818086544317
environ_PC2	mean	0.0965254868678931
environ_PC3	mean	0.0787793281225479
environ_PC1:Shoreline	mean	-0.0203195187398626
Shoreline:environ_PC2	mean	-0.285421742600947
Shoreline:environ_PC3	mean	0.156567924635496
moEA033	mean	-0.452622887580091
moSettlement_date_grouping_finer	mean	0.0783985468105631
moEA033:Shoreline	mean	-0.390386572102379
moSettlement_date_grouping_finer:Shoreline	mean	0.0956983547752348
sd_phylo_id__Intercept	mean	0.576692800569234
sd_spatial_id__Intercept	mean	0.221425074576782
simo_moEA0331[1]	mean	0.443063851924098
simo_moEA0331[2]	mean	0.250974723297266
simo_moEA0331[3]	mean	0.305961426680822
simo_moSettlement_date_grouping_finer1[1]	mean	0.10750973581321
simo_moSettlement_date_grouping_finer1[2]	mean	0.103929303660407
simo_moSettlement_date_grouping_finer1[3]	mean	0.100989480294466
simo_moSettlement_date_grouping_finer1[4]	mean	0.100108420232071
simo_moSettlement_date_grouping_finer1[5]	mean	0.100276614897226
simo_moSettlement_date_grouping_finer1[6]	mean	0.0968275113048102
simo_moSettlement_date_grouping_finer1[7]	mean	0.091734363262413
simo_moSettlement_date_grouping_finer1[8]	mean	0.096845474922379
simo_moSettlement_date_grouping_finer1[9]	mean	0.107896979265597
simo_moSettlement_date_grouping_finer1[10]	mean	0.0938821139613681
simo_moEA033:Shoreline1[1]	mean	0.438810187908276
simo_moEA033:Shoreline1[2]	mean	0.272001901341981
simo_moEA033:Shoreline1[3]	mean	0.289187910653841
simo_moSettlement_date_grouping_finer:Shoreline1[1]	mean	0.105580520042983
simo_moSettlement_date_grouping_finer:Shoreline1[2]	mean	0.100660220597318
simo_moSettlement_date_grouping_finer:Shoreline1[3]	mean	0.0955624273238878
simo_moSettlement_date_grouping_finer:Shoreline1[4]	mean	0.0958050000561926
simo_moSettlement_date_grouping_finer:Shoreline1[5]	mean	0.0950150301411131
simo_moSettlement_date_grouping_finer:Shoreline1[6]	mean	0.0958434317431715
simo_moSettlement_date_grouping_finer:Shoreline1[7]	mean	0.0945333832121112
simo_moSettlement_date_grouping_finer:Shoreline1[8]	mean	0.10045262153177
simo_moSettlement_date_grouping_finer:Shoreline1[9]	mean	0.118934790410758
simo_moSettlement_date_grouping_finer:Shoreline1[10]	mean	0.0976125742288612
r_phylo_id[Ambae,Intercept]	mean	0.501256344803677
r_phylo_id[Ambrym,Intercept]	mean	0.770199493831903
r_phylo_id[Aneityum,Intercept]	mean	0.0786651210670584
r_phylo_id[Anuta,Intercept]	mean	-0.125307449029955
r_phylo_id[Aore,Intercept]	mean	0.514813308260372
r_phylo_id[Aotearoa,Intercept]	mean	-0.212509469348989
r_phylo_id[Avaiki.Nui.(south),Intercept]	mean	-0.21599635706062
r_phylo_id[Chuuk,Intercept]	mean	-0.305057974755094
r_phylo_id[Duff.+.Reef.Islands,Intercept]	mean	0.0682690783635526
r_phylo_id[East.Futuna,Intercept]	mean	-0.149487137542559
r_phylo_id[Efate,Intercept]	mean	0.728266258897428
r_phylo_id[Erromango,Intercept]	mean	0.113028088237331
r_phylo_id[Hawaii,Intercept]	mean	-0.142144339334463
r_phylo_id[Hiu,Intercept]	mean	0.385992083815376
r_phylo_id[Kadavu,Intercept]	mean	-0.270158555886122
r_phylo_id[Kanaky.(New.Caledonia.main.island),Intercept]	mean	-0.0343315883717355
r_phylo_id[Kapingamarangi,Intercept]	mean	-0.192045469579779
r_phylo_id[Kosrae,Intercept]	mean	-0.229820315120951
r_phylo_id[Laguas.yan.gåni,Intercept]	mean	-0.307595883323615
r_phylo_id[Lau,Intercept]	mean	-0.27542113251459
r_phylo_id[Lifou,Intercept]	mean	-0.0238156069447066
r_phylo_id[Loh-Toga,Intercept]	mean	0.375410685762036
r_phylo_id[Luangiua,Intercept]	mean	-0.189453158650182
r_phylo_id[Maewo,Intercept]	mean	0.499465794028599
r_phylo_id[Malakula,Intercept]	mean	0.823404405162119
r_phylo_id[Mangareva,Intercept]	mean	-0.243908776214559
r_phylo_id[Māngarongaro,Intercept]	mean	-0.206854774591028
