diff_poisson_abs	diff_poisson	island_group_dropped	control	group	filename
0.479307272727273	0.00233636363636372	Ānewetak	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Ānewetak/diff_means.tsv
0.500816363636364	0.00335818181818179	Aotearoa	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Aotearoa/diff_means.tsv
0.473772727272727	0.0038927272727272	Banaba	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Banaba/diff_means.tsv
0.428721818181818	0.00387090909090916	Chuuk	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Chuuk/diff_means.tsv
0.472741818181818	0.00906181818181822	East Futuna	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//East_Futuna/diff_means.tsv
0.480510909090909	0.00254000000000004	Fiji	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Fiji/diff_means.tsv
0.492574545454545	-1.9272727272727e-4	Hawaii	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Hawaii/diff_means.tsv
0.482443636363636	0.00241818181818173	Hereheretue	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Hereheretue/diff_means.tsv
0.483529090909091	-6.7454545454537e-4	Kanaky (main island + Loyalties)	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Kanaky_(main_island_+_Loyalties)/diff_means.tsv
0.490638181818182	-0.00324181818181825	Kapingamarangi	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Kapingamarangi/diff_means.tsv
0.468694545454546	0.00354909090909105	Kosrae	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Kosrae/diff_means.tsv
0.426058181818182	0.00101454545454537	Laguas yan gåni (Guam + Northern Marianas)	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Laguas_yan_gåni_(Guam_+_Northern_Marianas)/diff_means.tsv
0.475089090909091	5.4727272727276e-4	Luangiua + Nukumanu	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Luangiua_+_Nukumanu/diff_means.tsv
0.480041818181818	0.0040636363636363	Mangaia	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Mangaia/diff_means.tsv
0.471936363636364	0.0077545454545455	Mangareva	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Mangareva/diff_means.tsv
0.470752727272727	-0.00253818181818186	Māngarongaro	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Māngarongaro/diff_means.tsv
0.456449090909091	0.00229272727272738	Marquesas	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Marquesas/diff_means.tsv
0.476476363636364	0.00129818181818183	Marutea	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Marutea/diff_means.tsv
0.471485454545455	0.00119090909090903	Mo-ava-mo-iki (Bellona + Rennelle)	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Mo-ava-mo-iki_(Bellona_+_Rennelle)/diff_means.tsv
0.483507272727273	0.00123090909090918	Morane	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Morane/diff_means.tsv
0.472294545454545	3.4181818181818e-4	Napuka	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Napuka/diff_means.tsv
0.476185454545454	-3.6000000000007e-4	Ngā Pū Toru	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Ngā_Pū_Toru/diff_means.tsv
0.472734545454545	-0.00397818181818193	Ngatik	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Ngatik/diff_means.tsv
0.465487272727273	-0.00458545454545457	Niu + Tuvalu	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Niu_+_Tuvalu/diff_means.tsv
0.468234545454545	0.00223818181818186	Niue	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//Niue/diff_means.tsv
0.478235714285714	0.0043678571428571	None	phylo	SBZR	output/results/drop_one_out/SBZR_phylo//None/diff_means.tsv
